,date,open,high,low,close,volume
0,1977-01-03,4.7511,4.866,4.7511,4.7967,896300.0
1,1977-01-04,4.7967,4.7967,4.3861,4.4773,1504600.0
2,1977-01-05,4.4773,4.5467,4.2949,4.3405,1481600.0
3,1977-01-06,4.3861,4.6379,4.3861,4.523,1670300.0
4,1977-01-07,4.523,4.6598,4.5011,4.5923,940400.0
5,1977-01-10,4.5923,4.6835,4.5923,4.6835,1334000.0
6,1977-01-11,4.6835,4.7292,4.5923,4.6142,1890600.0
7,1977-01-12,4.6142,4.6835,4.5686,4.6598,950900.0
8,1977-01-13,4.6598,4.7511,4.6598,4.7511,2828200.0
9,1977-01-14,4.7292,4.7292,4.6835,4.7054,906800.0
10,1977-01-17,4.7054,4.7292,4.6379,4.6379,1195600.0
11,1977-01-18,4.6379,4.6835,4.5686,4.6835,935500.0
12,1977-01-19,4.6835,4.8204,4.6598,4.7292,1670300.0
13,1977-01-20,4.7292,4.7748,4.6142,4.6598,1094900.0
14,1977-01-21,4.6598,4.7054,4.5923,4.7054,2410100.0
15,1977-01-24,4.7054,4.7292,4.6379,4.6379,1922100.0
16,1977-01-25,4.6142,4.6142,4.4098,4.5011,1428400.0
17,1977-01-26,4.523,4.6835,4.523,4.6142,2080800.0
18,1977-01-27,4.6142,4.7054,4.5923,4.5923,1148000.0
19,1977-01-28,4.6379,4.7292,4.6379,4.6835,1371800.0
20,1977-01-31,4.6835,4.7054,4.5923,4.6598,1149400.0
21,1977-02-01,4.6598,4.6598,4.523,4.5467,1151500.0
22,1977-02-02,4.5467,4.5923,4.5011,4.5011,740400.0
23,1977-02-03,4.5011,4.523,4.3186,4.3642,1868900.0
24,1977-02-04,4.3642,4.4098,4.3186,4.3642,1066200.0
25,1977-02-07,4.3642,4.4554,4.3186,4.3186,906100.0
26,1977-02-08,4.3186,4.3642,4.2036,4.2036,1032000.0
27,1977-02-09,4.2036,4.2036,3.8387,3.8843,5714500.0
28,1977-02-10,3.8843,3.9755,3.8387,3.908,2171700.0
29,1977-02-11,3.908,3.9536,3.7474,3.7474,1860500.0
30,1977-02-14,3.7474,3.8168,3.6562,3.7712,1286500.0
31,1977-02-15,3.7712,3.8624,3.7474,3.8387,2064700.0
32,1977-02-16,3.8387,4.0905,3.8387,3.9992,6240300.0
33,1977-02-17,3.9992,4.0668,3.9536,4.0211,950900.0
34,1977-02-18,4.0211,4.0668,3.9755,4.0668,1141700.0
35,1977-02-22,4.0449,4.0449,3.9992,4.0211,1336800.0
36,1977-02-23,4.0211,4.0668,3.9755,4.0211,2313600.0
37,1977-02-24,4.0211,4.0449,3.8624,3.9299,1124300.0
